"Daily Weather Observations for Alice Springs, Northern Territory for September 2022"
"Prepared at 13:03 UTC on Friday  7 October 2022   IDCJDW8002.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,10.2,13.5,6.2,,,ENE,35,14:05,10.2,99,,S,15,1021.9,13.3,94,,SE,17,1018.0
,2022-09-2,5.3,18.9,11.2,,,SE,50,12:32,10.7,97,,ESE,11,1024.3,18.0,41,,ESE,24,1021.3
,2022-09-3,3.0,19.6,0.2,,,E,50,11:23,11.5,76,,E,11,1023.9,18.8,34,,ESE,28,1019.9
,2022-09-4,6.2,16.1,0,,,E,39,08:42,9.6,60,,E,24,1021.3,14.7,35,,SSE,17,1017.8
,2022-09-5,2.4,22.8,0,,,ENE,30,09:57,11.2,64,,E,7,1019.8,22.1,25,,E,9,1014.7
,2022-09-6,7.3,29.2,0,,,W,74,16:23,16.4,48,,E,11,1014.2,27.5,24,8,NNW,28,1008.2
,2022-09-7,10.8,29.6,0,,,NW,61,15:09,23.2,50,4,NW,15,1010.7,28.6,21,,WNW,39,1006.0
,2022-09-8,7.7,25.4,0,,,SW,41,16:13,16.5,38,,SW,2,1016.7,24.6,14,,WSW,24,1012.4
,2022-09-9,7.0,24.6,0,,,ESE,28,10:05,16.3,51,1,ESE,17,1019.7,23.0,26,1,S,7,1015.6
,2022-09-10,10.8,20.5,0,,,E,37,10:30,15.4,53,7,ESE,17,1018.0,20.1,35,8,ESE,20,1014.9
,2022-09-11,10.8,27.1,3.6,,,ESE,41,17:45,13.7,83,8,ENE,17,1016.6,25.7,31,,NNE,13,1011.4
,2022-09-12,11.7,26.0,0.2,,,E,41,14:56,14.0,81,7,ENE,20,1019.6,24.9,39,,SE,13,1015.6
,2022-09-13,10.7,32.3,0,,,NNW,31,11:44,21.0,48,,NE,13,1019.6,31.6,18,,WSW,11,1014.6
,2022-09-14,17.7,34.7,0,,,WNW,59,15:29,26.2,24,,NNW,24,1015.1,33.7,19,,WNW,31,1011.4
,2022-09-15,15.5,29.9,0,,,,,,24.6,33,1,SW,20,1013.9,28.8,19,,SW,19,1010.9
,2022-09-16,7.8,28.3,0.2,,,,,,19.5,20,,ESE,19,1014.9,26.4,12,,WSW,7,1011.0
,2022-09-17,9.8,26.4,0,,,SE,31,09:54,19.1,33,,SE,20,1018.5,25.2,21,,E,9,1014.6
,2022-09-18,6.7,29.9,0,,,E,31,09:47,19.6,33,,E,19,1017.4,29.0,15,,ESE,17,1012.4
,2022-09-19,10.9,35.2,0,,,NNW,54,10:38,25.5,19,1,N,20,1014.6,34.0,13,,NW,22,1008.8
,2022-09-20,21.8,35.7,0,,,WNW,72,13:28,28.5,35,,NNW,28,1010.0,33.8,14,5,W,37,1008.4
,2022-09-21,9.2,25.6,0,,,E,39,10:29,17.7,49,,SE,24,1021.2,24.7,24,,SSE,11,1016.4
,2022-09-22,7.3,30.7,0,,,E,30,09:48,20.0,29,,ENE,13,1018.8,29.7,15,,WSW,11,1013.6
,2022-09-23,9.1,30.7,0,,,E,33,12:45,22.5,27,,ENE,9,1017.5,30.1,13,,SE,20,1013.7
,2022-09-24,8.9,32.0,0,,,E,43,10:30,24.2,19,,NE,20,1015.7,31.3,12,,E,7,1010.9
,2022-09-25,19.6,34.7,0,,,S,56,17:26,27.2,13,4,N,26,1012.1,33.1,11,8,NW,15,1008.8
,2022-09-26,18.2,25.5,0,,,ENE,39,10:33,22.5,33,8,NNE,13,1015.4,24.6,33,7,ESE,13,1013.4
,2022-09-27,14.3,19.6,0.2,,,E,39,10:48,14.4,75,8,ESE,20,1018.9,18.2,60,2,ESE,20,1016.1
,2022-09-28,7.5,25.4,0.8,,,E,39,11:08,16.0,63,,SE,19,1019.2,24.9,28,,ESE,17,1015.4
,2022-09-29,4.6,26.9,0,,,E,39,13:28,17.7,31,4,E,24,1020.6,26.2,14,,ESE,17,1016.9
,2022-09-30,10.5,27.5,0,,,E,43,09:16,20.5,29,,E,28,1021.1,26.3,15,,SE,19,1015.0
