"Daily Weather Observations for Cairns Racecourse, Queensland for September 2022"
"Prepared at 13:02 UTC on Friday 14 October 2022   IDCJDW4154.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Racecourse {station 031222}"


,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,21.1,27.7,0,,,SE,39,10:50,22.5,83,,SSE,13,,25.1,71,,SE,20,
,2022-09-2,21.5,25.1,4.8,,,S,26,12:21,23.8,96,,S,11,,24.7,92,,ESE,13,
,2022-09-3,22.5,27.4,24.8,,,SE,31,16:40,23.4,93,,SSE,13,,25.8,76,,ESE,15,
,2022-09-4,17.9,25.1,0.2,,,ESE,37,12:45,22.6,51,,SSE,19,,24.0,54,,ESE,20,
,2022-09-5,14.5,25.9,0,,,E,33,12:59,22.9,68,,S,13,,24.6,61,,ESE,15,
,2022-09-6,18.7,27.6,0,,,ESE,35,13:26,23.3,74,,SSE,9,,25.3,67,,ESE,20,
,2022-09-7,20.4,27.6,1.6,,,ESE,33,13:35,24.0,81,,SE,9,,26.8,59,,ESE,19,
,2022-09-8,19.0,28.0,0,,,SE,26,11:34,25.0,69,,SW,9,,27.3,57,,W,2,
,2022-09-9,19.1,29.3,0,,,N,22,13:41,24.9,75,,ESE,13,,28.0,60,,NNW,13,
,2022-09-10,20.2,30.1,0,,,ESE,30,16:43,26.0,74,,SSE,11,,28.8,63,,ESE,17,
,2022-09-11,20.5,29.5,0,,,E,30,13:10,26.3,69,,SSE,9,,29.0,57,,SE,15,
,2022-09-12,22.2,28.5,0,,,ESE,37,12:14,26.2,70,,SSE,17,,27.9,65,,ESE,20,
,2022-09-13,19.8,29.1,0,,,ESE,39,15:13,25.9,69,,S,17,,27.7,63,,E,24,
,2022-09-14,20.6,28.7,0,,,ESE,44,12:53,25.9,64,,SSE,17,,27.1,59,,ESE,26,
,2022-09-15,18.7,28.8,0,,,NNW,26,13:14,25.7,70,,S,11,,27.6,59,,SE,19,
,2022-09-16,20.5,29.1,0,,,NE,28,11:21,26.7,62,,SSW,4,,28.0,58,,NNE,13,
,2022-09-17,18.3,30.8,0,,,NE,24,13:52,26.0,74,,SSE,2,,30.1,52,,NNE,11,
,2022-09-18,21.3,31.8,0,,,SE,28,14:40,27.4,73,,SSE,13,,30.7,57,,ESE,17,
,2022-09-19,24.1,31.5,0.2,,,ESE,31,15:41,28.9,75,,SE,9,,29.3,64,,ESE,20,
,2022-09-20,20.6,31.9,0,,,ESE,28,11:56,27.1,71,,S,11,,31.5,48,,ESE,15,
,2022-09-21,20.8,31.0,0,,,E,30,12:33,28.0,66,,SSE,15,,30.0,51,,SE,17,
,2022-09-22,20.0,30.6,0,,,ENE,26,15:52,27.3,69,,SSE,9,,28.9,63,,NE,13,
,2022-09-23,22.0,30.3,0,,,N,26,12:00,27.6,71,,SE,11,,29.1,63,,NNE,11,
,2022-09-24,20.3,31.2,0,,,N,28,13:49,27.4,69,,SSE,9,,29.5,59,,NNE,13,
,2022-09-25,20.5,31.5,0,,,ESE,30,14:50,27.9,67,,ESE,9,,30.3,50,,SE,19,
,2022-09-26,20.9,31.2,0,,,ESE,35,15:35,27.9,66,,SSE,11,,29.8,53,,ESE,20,
,2022-09-27,19.8,30.8,0,,,SE,35,11:17,27.3,66,,SSE,13,,29.8,54,,ESE,20,
,2022-09-28,20.7,30.7,0,,,ESE,37,13:38,27.0,66,,S,15,,29.3,56,,ESE,24,
,2022-09-29,21.4,30.6,0,,,ESE,39,16:22,25.0,68,,SSE,15,,27.7,63,,SE,20,
,2022-09-30,18.4,30.1,0,,,E,39,12:14,26.7,60,,S,13,,28.2,55,,ESE,24,
