"Daily Weather Observations for Gold Coast, Queensland for September 2022"
"Prepared at 13:01 UTC on Friday  7 October 2022   IDCJDW4050.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the Gold Coast Seaway, at the northern end of Southport Spit."
"The Gold Coast Seaway site is an Automatic Weather Station (AWS) at the northern end of Southport Spit. If you are interested in the southern end of the Gold Coast, see the observations from Coolangatta."
"Observations were drawn from Gold Coast Seaway {station 040764}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,14.6,22.5,0.2,,,ESE,30,09:22,20.7,70,,SE,17,1023.5,20.6,77,,ESE,24,1021.1
,2022-09-2,15.2,20.5,0,,,ESE,37,19:46,20.0,79,,ESE,7,1022.5,19.5,82,,SSE,6,1018.5
,2022-09-3,14.5,18.6,32.8,,,E,54,05:22,17.0,89,,E,31,1014.0,17.2,75,,ESE,24,1010.5
,2022-09-4,14.6,20.6,8.4,,,NNE,61,15:28,18.6,62,,NE,28,1014.4,18.8,62,,NNE,35,1014.9
,2022-09-5,12.2,20.9,0,,,,46,12:20,18.2,61,,N,20,1020.9,18.3,59,,,,1019.4
,2022-09-6,12.7,21.5,0,,,,,,17.5,62,,,,1023.5,18.9,67,,SSE,35,1021.0
,2022-09-7,12.2,21.0,,,,ESE,31,14:07,19.3,62,,SSE,17,1024.6,18.5,62,,ESE,24,1021.7
,2022-09-8,13.0,22.2,0,,,NE,30,12:37,18.6,68,,SSE,13,1024.2,19.4,68,,E,13,1019.5
,2022-09-9,15.4,22.4,11.4,,,N,30,13:40,16.6,94,,WNW,6,1018.3,21.3,62,,N,15,1013.4
,2022-09-10,15.4,25.6,3.6,,,W,31,12:20,20.9,68,,NW,9,1014.7,25.0,34,,WNW,17,1010.2
,2022-09-11,14.0,22.9,0,,,ENE,26,13:55,20.1,41,,NW,7,1016.1,20.3,54,,ENE,19,1013.9
,2022-09-12,15.5,24.1,0,,,NNE,28,13:08,17.7,69,,NW,7,1018.2,21.6,54,,NNE,17,1015.3
,2022-09-13,12.1,22.6,0,,,SE,46,13:11,21.2,45,,S,13,1022.6,19.9,71,,SE,41,1021.1
,2022-09-14,13.9,20.6,0,,,SE,37,12:46,19.6,59,,SSE,19,1026.3,19.5,66,,SE,30,1023.1
,2022-09-15,14.3,22.1,0,,,N,35,23:50,20.1,65,,NE,7,1021.3,20.4,68,,NNE,20,1016.8
,2022-09-16,15.6,21.7,10.8,,,NE,41,05:55,16.7,93,,NNW,9,1014.0,20.3,74,,NNW,9,1010.6
,2022-09-17,16.5,27.1,0.4,,,N,35,15:36,20.0,86,,NW,7,1012.6,25.8,65,,N,15,1007.2
,2022-09-18,13.7,26.1,0.2,,,WNW,33,15:47,21.7,47,,NW,9,1016.8,25.4,32,,NW,17,1012.6
,2022-09-19,12.2,26.0,0,,,ENE,31,14:07,22.6,44,,NW,9,1018.6,23.0,53,,NE,26,1014.0
,2022-09-20,12.4,24.5,0,,,SE,43,13:42,23.4,36,,S,19,1020.5,21.8,79,,SE,31,1017.8
,2022-09-21,17.9,22.2,0,,,N,43,21:15,21.2,71,,E,22,1021.5,20.7,74,,NE,19,1018.7
,2022-09-22,17.3,19.7,21.8,,,ENE,57,23:02,17.6,95,,NW,11,1015.7,18.4,92,,ESE,17,1013.0
,2022-09-23,17.0,24.5,20.4,,,SSE,69,07:39,18.1,94,,S,20,1009.7,21.2,83,,SE,17,1008.4
,2022-09-24,15.2,28.0,2.0,,,WNW,33,13:55,22.5,69,,N,6,1011.8,27.8,39,,WNW,17,1007.7
,2022-09-25,13.8,22.7,0,,,ESE,28,11:08,20.9,72,,SE,13,1015.9,22.0,64,,E,20,1013.5
,2022-09-26,15.5,25.5,0,,,NE,31,15:13,21.8,73,,NE,7,1017.5,23.6,70,,NE,22,1013.0
,2022-09-27,18.7,25.3,0,,,NNE,50,19:11,21.4,63,,NNW,15,1016.0,24.2,60,,N,17,1011.5
,2022-09-28,16.7,25.6,11.6,,,NNE,37,00:04,21.3,70,,NW,17,1013.9,24.2,70,,NNE,11,1010.4
,2022-09-29,14.5,22.1,0,,,W,30,09:39,19.2,44,,WNW,15,1015.1,20.4,52,,ESE,17,1013.8
,2022-09-30,13.8,25.7,0,,,SSE,48,18:04,21.9,52,,SE,9,1017.2,21.7,72,,SE,28,1014.6
