"Daily Weather Observations for Tindal RAAF, Northern Territory for September 2022"
"Prepared at 13:03 UTC on Friday 14 October 2022   IDCJDW8048.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Tindal RAAF {station 014932}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,21.1,36.3,0,,,ENE,33,13:10,27.4,58,,NE,11,1013.3,35.7,29,,SE,11,1009.2
,2022-09-2,24.7,35.8,0,,,ESE,41,11:34,29.1,51,,ESE,20,1014.3,34.5,33,,ESE,11,1009.8
,2022-09-3,21.2,33.2,0,,,SE,41,13:07,23.3,49,,SE,26,1015.2,31.6,29,,SE,20,1009.5
,2022-09-4,17.2,33.3,0,,,ESE,35,08:52,23.1,33,,ESE,24,1014.4,32.1,20,,S,20,1009.6
,2022-09-5,16.6,34.7,0,,,E,30,09:57,24.2,37,,ESE,17,1014.5,33.0,19,,E,13,1009.4
,2022-09-6,14.9,37.0,0,,,ENE,31,11:53,26.4,45,,SE,7,1014.0,36.0,10,,NNE,9,1008.0
,2022-09-7,21.1,36.6,0,,,NW,31,23:46,27.7,50,,NNW,19,1014.0,35.4,22,,NNW,13,1009.0
,2022-09-8,21.4,37.2,0,,,SW,33,13:46,27.1,62,,W,17,1015.2,36.4,25,1,SSE,15,1009.7
,2022-09-9,21.9,38.6,0,,,NNW,30,01:18,27.7,61,,NW,11,1013.9,37.7,19,,W,7,1009.0
,2022-09-10,26.0,36.8,0,,,NNE,35,23:53,28.2,64,1,WNW,15,1014.2,35.2,35,1,E,9,1008.2
,2022-09-11,22.2,34.0,17.0,,,N,54,01:14,27.4,73,8,NW,9,1013.1,32.5,46,7,NNW,15,1008.6
,2022-09-12,24.8,37.6,0.2,,,E,46,18:22,29.0,56,4,NW,11,1013.2,36.4,27,,S,6,1008.4
,2022-09-13,25.5,37.3,0,,,ENE,43,11:17,28.3,66,8,N,7,1016.0,36.9,22,1,E,20,1011.1
,2022-09-14,20.2,37.6,0,,,E,46,15:22,29.0,58,,WNW,2,1016.2,36.4,18,,ENE,15,1011.2
,2022-09-15,19.6,39.0,0,,,NW,28,10:22,28.9,58,,NW,13,1014.4,38.2,16,,E,7,1008.2
,2022-09-16,24.1,37.1,0,,,WNW,39,12:51,28.8,62,1,WNW,26,1012.2,36.2,30,,NNW,13,1007.6
,2022-09-17,23.8,39.4,0,,,NE,35,22:03,29.0,56,,NW,13,1012.2,38.3,20,,E,11,1007.0
,2022-09-18,26.4,38.7,0,,,NNW,43,23:06,29.7,57,,NW,17,1012.9,38.1,27,3,W,9,1007.9
,2022-09-19,26.4,39.4,0,,,NE,43,21:03,30.9,47,,NW,11,1013.4,38.4,20,1,NNE,11,1007.6
,2022-09-20,24.1,38.7,0,,,N,26,13:10,29.9,54,,NW,7,1014.0,38.0,24,2,NE,11,1008.2
,2022-09-21,24.4,40.8,0,,,E,43,15:22,31.2,51,,NNE,9,1013.0,40.0,11,,ESE,13,1007.5
,2022-09-22,24.9,39.1,0,,,E,50,14:08,29.7,60,,NW,6,1014.3,38.1,20,,SE,11,1008.6
,2022-09-23,25.1,39.5,0,,,N,70,13:04,30.0,57,,NNW,13,1012.9,38.0,24,,SE,9,1006.9
,2022-09-24,23.7,39.2,0.2,,,SE,44,14:06,29.3,61,,N,9,1011.5,37.9,19,,ESE,19,1006.0
,2022-09-25,19.6,39.2,0,,,ESE,35,13:19,28.9,61,,NNW,13,1011.6,38.5,9,1,ESE,17,1006.2
,2022-09-26,23.4,40.0,0,,,NNW,33,09:24,30.3,50,,NNW,15,1010.0,39.2,15,,NNW,15,1005.1
,2022-09-27,26.2,38.5,0,,,NE,48,22:06,29.5,59,7,W,13,1010.6,36.4,29,1,WNW,7,1005.5
,2022-09-28,26.7,37.5,0,,,ENE,46,20:40,29.2,54,8,SE,17,1011.5,36.2,31,2,SE,11,1006.3
,2022-09-29,24.6,36.5,0,,,ESE,43,10:08,28.9,51,1,E,26,1012.9,35.3,30,4,NE,17,1008.8
,2022-09-30,24.2,37.5,0,,,ESE,43,11:26,29.1,43,,E,22,1013.1,37.2,26,,SE,17,1007.4
