"Daily Weather Observations for Perth Airport, Western Australia for September 2022"
"Prepared at 13:03 UTC on Friday  7 October 2022   IDCJDW6110.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,11.0,22.4,0,3.2,10.3,E,57,02:18,14.6,58,0,ENE,20,1026.9,22.0,37,1,E,28,1023.1
,2022-09-2,12.1,20.9,0,4.8,2.3,ENE,56,11:51,14.9,54,8,ENE,33,1024.2,19.6,45,7,E,24,1019.5
,2022-09-3,11.7,15.5,6.2,4.4,0.3,ENE,56,09:32,12.9,83,7,ENE,31,1015.8,15.0,72,7,ENE,33,1012.8
,2022-09-4,12.7,20.4,0.4,2.0,1.7,ENE,33,00:20,15.3,77,7,NE,19,1013.6,19.8,64,7,NNE,13,1010.3
,2022-09-5,12.4,18.9,26.4,0.8,3.9,WSW,43,16:50,14.9,91,8,S,15,1012.4,17.2,56,7,WSW,28,1010.5
,2022-09-6,9.6,16.9,24.0,1.0,7.7,SW,43,16:00,13.2,80,3,NNE,24,1008.1,15.8,62,3,WSW,28,1008.0
,2022-09-7,4.6,19.7,0.4,3.4,7.3,WSW,33,15:48,11.2,87,7,NE,11,1018.6,18.3,56,5,SSW,20,1017.9
,2022-09-8,6.7,19.0,0.6,2.0,3.9,ENE,28,08:39,12.5,76,7,ENE,19,1021.7,18.0,53,8,NNE,13,1017.8
,2022-09-9,10.7,22.2,0,1.2,10.3,W,31,15:42,16.1,65,2,ENE,13,1018.5,21.9,41,2,W,11,1015.6
,2022-09-10,6.6,23.4,0,3.0,9.9,WSW,30,14:38,15.2,75,1,S,9,1020.4,20.8,43,7,WSW,20,1017.8
,2022-09-11,5.8,24.9,0,4.2,10.3,NE,31,12:11,16.7,59,0,NNE,9,1017.7,23.4,36,5,WSW,17,1013.6
,2022-09-12,9.1,24.1,0,3.0,7.8,WNW,41,14:11,18.3,56,1,NNE,17,1010.6,21.7,54,7,WNW,20,1007.1
,2022-09-13,12.5,18.3,16.4,2.2,4.5,NW,67,09:04,17.2,64,7,NW,37,1003.8,16.9,66,5,WSW,44,1007.3
,2022-09-14,12.6,18.8,9.2,4.4,8.4,SW,56,15:28,15.2,70,5,SW,30,1022.2,17.9,57,6,SW,37,1021.3
,2022-09-15,10.5,18.9,3.6,3.6,4.3,SSW,46,12:57,15.1,79,7,S,9,1025.6,18.4,56,7,SW,31,1023.0
,2022-09-16,8.5,20.6,0,2.8,9.5,WSW,35,15:17,15.5,74,6,SW,4,1023.9,20.3,51,5,SW,19,1021.3
,2022-09-17,6.1,20.7,0,3.8,4.9,SW,33,17:03,14.1,81,7,N,9,1022.2,19.0,60,6,WSW,17,1018.6
,2022-09-18,11.0,20.7,0,1.4,6.6,WNW,35,13:00,15.4,74,7,NNE,9,1017.0,18.9,54,3,W,17,1013.3
,2022-09-19,9.9,18.4,6.8,3.2,6.5,SW,59,14:54,13.8,86,6,E,6,1008.9,18.0,56,3,SW,41,1012.4
,2022-09-20,9.4,19.8,1.6,3.4,2.6,W,37,11:55,13.5,86,7,N,13,1021.4,19.0,62,7,WNW,26,1019.6
,2022-09-21,8.9,20.7,0.2,1.8,8.1,WNW,48,15:20,16.6,74,2,N,13,1019.6,19.6,51,4,WNW,24,1017.5
,2022-09-22,9.2,19.3,1.8,2.2,11.1,S,37,00:11,14.1,53,5,ESE,15,1023.5,19.1,32,2,NW,9,1020.6
,2022-09-23,6.6,20.2,0,4.0,9.7,SW,35,13:35,14.4,58,2,NNE,15,1020.0,19.1,48,3,W,20,1015.9
,2022-09-24,9.9,18.4,1.0,3.8,8.9,SSW,48,11:28,14.7,62,4,S,30,1017.7,17.4,40,5,SW,19,1017.7
,2022-09-25,3.2,19.1,0,4.4,8.5,SW,33,16:06,14.8,51,1,NE,4,1023.4,17.4,62,6,S,19,1021.9
,2022-09-26,5.7,22.9,0,2.2,11.1,E,41,08:33,16.7,65,1,E,24,1026.7,22.4,47,1,SW,17,1023.2
,2022-09-27,6.8,25.5,0,3.8,11.2,SW,35,16:24,18.8,52,0,ENE,7,1023.0,25.0,35,1,WSW,19,1019.3
,2022-09-28,7.8,27.9,0,5.0,10.3,NE,35,10:29,21.2,48,1,E,20,1018.4,27.0,25,7,NNE,6,1015.7
,2022-09-29,12.1,28.5,0,6.2,11.2,ESE,54,13:39,20.6,39,0,ENE,28,1019.9,28.2,19,0,ESE,33,1016.8
,2022-09-30,15.1,28.0,0,6.6,11.2,E,56,02:12,20.6,46,0,E,30,1021.9,27.8,26,0,ENE,15,1016.7
