"Daily Weather Observations for Townsville, Queensland for September 2022"
"Prepared at 13:01 UTC on Friday  7 October 2022   IDCJDW4128.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Townsville Aero {station 032040}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,18.1,27.7,0,,,ENE,48,14:58,24.9,61,,ESE,26,1018.7,25.5,63,,ENE,37,1015.6
,2022-09-2,20.4,24.8,0.2,,,ESE,37,02:25,22.8,82,,ESE,20,1017.1,24.1,82,,ESE,24,1013.5
,2022-09-3,19.8,27.8,10.4,,,SW,52,10:30,20.9,68,,SSW,26,1014.9,26.3,42,,S,31,1011.2
,2022-09-4,15.9,26.1,0,,,SSW,39,09:41,19.9,48,,S,22,1017.1,24.0,45,,ENE,24,1012.4
,2022-09-5,12.9,25.9,0,,,ENE,39,12:26,21.4,65,,SE,19,1017.7,23.8,62,,NE,26,1014.6
,2022-09-6,17.2,27.1,0,,,E,48,21:26,24.0,69,,ESE,24,1017.9,25.3,61,,E,30,1014.8
,2022-09-7,19.3,26.4,0,,,ESE,48,00:29,23.6,68,8,ESE,20,1019.5,25.1,64,2,ENE,28,1015.8
,2022-09-8,20.3,27.5,0.6,,,ENE,39,13:29,23.3,82,8,E,20,1018.9,25.2,67,8,ENE,26,1015.6
,2022-09-9,21.4,29.0,0,,,ENE,33,14:47,25.2,78,8,WSW,7,1017.6,27.9,60,,NE,17,1013.5
,2022-09-10,19.6,29.9,0,,,ENE,31,14:52,26.6,64,,ENE,6,1017.2,28.3,61,1,ENE,20,1013.4
,2022-09-11,18.3,28.8,0,,,ENE,26,17:42,23.8,78,7,SSE,4,1016.1,27.8,55,,NE,15,1013.0
,2022-09-12,18.8,27.0,0,,,ENE,33,15:23,24.7,66,,E,17,1018.2,25.7,68,,NE,26,1015.3
,2022-09-13,17.4,28.2,0,,,ENE,41,12:39,24.6,67,1,ESE,20,1021.1,25.2,68,,ENE,28,1018.1
,2022-09-14,19.9,27.7,0,,,ENE,44,11:02,24.9,66,2,ESE,24,1022.1,25.9,57,,ENE,30,1018.9
,2022-09-15,18.0,27.5,0,,,ENE,37,13:21,24.2,59,,E,19,1018.7,25.8,61,,ENE,28,1014.4
,2022-09-16,21.9,29.0,0,,,NNE,35,14:08,26.1,58,2,NNW,13,1014.4,27.3,55,,N,19,1010.5
,2022-09-17,21.6,30.4,0,,,NNE,35,13:16,26.9,68,2,NNW,17,1014.9,28.9,59,,N,28,1011.5
,2022-09-18,22.5,30.6,0,,,ENE,28,09:49,27.7,73,8,E,15,1016.8,28.7,68,,ENE,22,1013.5
,2022-09-19,24.2,30.5,0,,,NE,31,16:07,27.6,77,8,ENE,22,1018.1,29.8,61,,ENE,22,1013.7
,2022-09-20,22.6,30.2,0,,,NE,30,13:20,27.6,73,2,ENE,19,1018.2,28.8,67,,ENE,19,1013.3
,2022-09-21,23.0,30.9,0,,,ENE,33,08:18,27.1,74,6,ENE,22,1017.5,29.9,58,,NE,19,1014.1
,2022-09-22,22.4,31.2,0,,,NNE,31,12:53,28.4,67,7,NE,15,1014.9,29.7,54,,N,19,1010.5
,2022-09-23,19.9,32.2,0,,,N,33,16:17,27.6,50,,SSW,9,1013.2,31.0,50,,NE,19,1008.8
,2022-09-24,20.4,31.3,0,,,NNE,31,12:23,27.7,65,3,N,9,1013.7,30.3,49,,N,20,1009.8
,2022-09-25,22.8,31.0,0,,,NE,35,11:20,28.8,65,2,NE,24,1014.7,29.1,64,3,NE,28,1011.8
,2022-09-26,24.2,30.3,0,,,NE,39,11:15,28.5,59,1,ENE,28,1015.3,28.7,57,,ENE,26,1012.0
,2022-09-27,23.8,30.4,0,,,ENE,39,11:00,27.8,56,2,NE,19,1015.1,28.7,59,,NE,24,1011.4
,2022-09-28,22.6,31.6,0,,,SSW,48,21:44,26.7,65,6,W,7,1014.6,27.6,66,8,NE,11,1011.9
,2022-09-29,18.2,27.4,10.0,,,SSW,37,00:45,21.0,88,8,ESE,9,1017.6,26.6,62,2,ENE,24,1013.5
,2022-09-30,17.3,28.4,0,,,NE,39,13:24,24.6,71,5,E,19,1018.0,26.9,58,,ENE,30,1013.9
